X152328_BSA_d1_A	X152328_IL13_d1_A	X153087_BSA_d1_A	X153087_IL13_d1_A	X153173_BSA_d2_H	X153173_IL13_d2_H	X153724_BSA_d1_A	X153724_IL13_d1_A	X153741_BSA_d2_H	X153741_IL13_d2_H	X153870_BSA_d1_H	X153870_IL13_d1_H	X154142_BSA_d2_A	X154142_IL13_d2_A	X154417_BSA_d2_A	X154417_IL13_d2_A	X154566_BSA_d1_A	X154566_IL13_d1_A	X154651_BSA_d2_A	X154651_IL13_d2_A	X154711_BSA_d1_A	X154711_IL13_d1_A	X154717_BSA_d1_A	X154717_IL13_d1_A	X154783_BSA_d1_A	X154783_IL13_d1_A	X155404_BSA_d2_H	X155404_IL13_d2_H
SRSF1_SRSF1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
SRSF3_SRSF3	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	1	0
SRSF7_SRSF7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ST13_F10A1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	0	0	2	0	0	0	0	0	0	0	1	0
ST13P4_ST134	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ST6GAL1_SIAT1	0	2	0	1	0	1	0	3	0	0	0	0	0	3	0	5	0	3	1	2	0	2	0	3	0	0	1	0
ST6GALNAC1_SIA7A	2	2	0	0	0	0	0	1	0	1	0	0	1	2	0	2	0	0	2	2	0	0	2	0	0	0	0	0
STEAP4_STEA4	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
STIP1_STIP1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
STK24_STK24	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
STOM_STOM	6	2	6	6	9	2	4	2	3	0	7	3	6	3	4	7	6	4	8	1	5	1	10	3	3	0	6	1
SUB1_TCP4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0
SUMO2_SUMO2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0
SUMO4_SUMO4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0
SYNCRIP_HNRPQ	0	2	0	2	0	0	0	1	0	0	0	0	1	0	2	1	0	0	2	1	0	1	0	2	1	0	0	0
TACSTD2_TACD2	2	0	1	0	0	0	0	2	0	2	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1
TAGLN_TAGL	2	2	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0
TAGLN2_TAGL2	7	10	6	5	12	3	7	2	6	4	9	0	8	2	11	7	8	5	12	3	8	6	7	5	4	2	3	2
TALDO1_TALDO	3	3	5	5	2	2	3	4	2	3	6	2	2	3	4	2	2	5	3	2	3	6	4	6	2	3	1	3
TBCA_TBCA	0	0	0	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	2	1	1	1	0	0	0	0	1	1
TCEAL3_TCAL3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0
TCN1_TCO1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	5	0	2	0	0	0	0	0	2	0
TCP1_TCPA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
TES_TES	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
TF_TRFE	3	0	0	0	1	7	5	0	0	1	0	0	1	8	0	3	2	0	0	5	0	0	0	0	0	0	3	1
TFF3_TFF3	0	2	0	1	0	3	0	2	1	2	0	0	2	2	1	2	0	2	2	2	0	2	1	2	0	0	1	2
TGFBI_BGH3	5	1	5	0	3	2	0	0	0	1	0	2	0	5	0	5	1	0	1	1	0	0	2	2	2	2	0	3
TGM2_TGM2	6	5	2	1	0	0	7	3	0	1	7	0	0	2	0	3	0	1	1	1	1	0	0	0	2	1	0	1
TGOLN2_TGON2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
THBS1_TSP1	0	3	1	0	0	2	2	4	0	5	0	0	1	4	2	10	2	0	4	3	0	1	3	8	0	1	0	0
TIMP1_TIMP1	2	3	1	4	0	5	2	6	2	3	0	0	4	6	1	5	0	4	5	6	2	0	1	5	0	3	3	5
TINAGL1_TINAL	2	2	0	0	0	0	0	0	0	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2	0	0	0
TKT_TKT	10	8	8	8	4	6	5	6	5	6	9	3	5	8	8	8	3	10	8	7	9	7	7	8	2	4	4	9
TMC4_TMC4	0	0	2	0	1	0	0	0	1	0	3	0	1	0	2	0	4	0	4	0	5	0	3	0	0	0	1	0
TMC5_TMC5	7	0	3	0	4	0	0	0	4	0	5	0	4	0	11	0	4	0	8	0	9	0	10	0	0	0	1	0
TNC_TENA	5	3	0	0	2	4	3	4	0	11	3	0	2	4	2	14	1	3	1	3	0	0	0	7	4	3	0	0
TP53I3_QORX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
TPI1_TPIS	6	6	13	13	6	7	8	9	4	6	16	2	10	10	13	11	3	6	11	9	15	7	9	13	4	2	8	7
TPM1_TPM1	0	0	0	0	1	1	0	0	1	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	1
TPM3_TPM3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0
TPM4_TPM4	7	4	5	0	0	0	1	0	0	0	9	4	3	0	0	3	3	3	4	0	5	0	4	0	2	3	0	0
TPPP3_TPPP3	3	2	6	2	5	0	1	0	3	0	7	0	2	0	7	1	2	1	3	0	5	2	6	3	0	0	0	0
TPT1_TCTP	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0
TSG101_TS101	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
TSPAN1_TSN1	2	2	2	2	2	1	0	0	1	2	2	0	2	2	2	2	2	3	2	2	2	0	2	2	0	1	2	1
TST_THTR	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1
TUBA1A_TBA1A	0	10	14	12	0	0	12	0	0	0	13	0	10	9	12	11	0	0	12	10	12	0	13	9	11	8	0	6
TUBA1B_TBA1B	10	11	14	13	11	6	11	8	8	6	13	0	11	9	0	11	0	9	13	10	12	0	13	10	11	8	8	7
TUBA1C_TBA1C	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	10	11	9	0	0	0	0	0	0	0	0	0	0
TUBB_TBB5	15	16	24	16	14	9	13	4	0	6	20	0	10	13	13	16	0	16	18	13	20	4	16	16	7	13	7	14
TUBB2A_TBB2A	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	16	0	0	0	0	0	0	0	0	0	0	0	12
TUBB3_TBB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	8	0	0	0	0	0	0	0	0	0	0
TUBB4B_TBB4B	17	16	26	18	16	10	15	5	6	6	25	0	14	15	19	20	15	16	23	14	23	4	22	20	0	0	8	14
TUFM_EFTU	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
TXN_THIO	1	2	1	0	1	0	0	0	1	0	2	0	1	1	2	2	1	0	1	2	2	0	3	2	0	0	0	1
TXNDC17_TXD17	2	1	1	1	3	1	0	0	1	1	2	0	1	1	4	3	2	1	3	1	2	0	2	0	0	0	2	1
TXNDC5_TXND5	2	0	0	0	0	0	2	0	0	1	3	1	0	2	0	1	0	0	0	1	2	0	0	0	0	0	0	2
TYMP_TYPH	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0
UAP1_UAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
UBA1_UBA1	2	4	3	3	4	2	2	5	0	7	6	0	0	4	2	7	3	6	1	8	2	0	0	6	3	2	1	3
UBA52_RL40	3	0	4	0	0	0	0	2	0	0	3	0	0	0	0	0	2	4	0	0	4	2	3	2	0	0	0	0
UBB_UBB	0	0	0	0	4	3	0	0	2	3	0	0	3	3	4	4	0	0	4	4	0	0	0	0	0	0	4	4
UBE2N_UBE2N	2	2	1	1	1	1	1	0	0	1	2	0	0	1	1	1	0	1	1	1	1	1	2	0	0	0	0	0
UGDH_UGDH	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
UGP2_UGPA	0	0	0	0	1	0	0	0	1	1	4	0	0	0	5	2	2	2	1	0	2	0	0	0	0	0	0	0
UQCRC1_QCR1	0	0	3	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0
VAT1_VAT1	0	2	0	2	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1
VCL_VINC	0	0	1	0	1	1	0	2	1	3	3	2	1	0	7	7	0	3	2	1	3	3	1	0	4	3	1	1
VCP_TERA	10	7	5	7	2	0	0	0	0	4	11	4	4	2	8	7	4	7	7	6	5	9	6	3	1	2	2	2
VDAC1_VDAC1	0	1	0	2	0	0	2	0	0	0	3	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	2
VDAC2_VDAC2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0
VIM_VIME	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
VMO1_VMO1	6	1	0	0	1	1	5	1	0	1	1	0	1	0	1	0	1	1	3	0	0	0	1	0	0	1	0	1
VPS35_VPS35	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
WARS_SYWC	0	2	1	4	0	2	0	0	0	1	0	0	0	0	1	2	0	4	0	1	0	1	0	1	0	0	0	1
WDR1_WDR1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	2	0	0	2	0	3	1	0	0	0	0
WFDC2_WFDC2	1	0	2	0	1	0	1	0	1	0	2	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0
YBX1_YBOX1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0
YWHAB_1433B	6	5	6	6	3	5	3	5	2	5	5	2	2	5	5	7	0	4	6	5	6	5	0	5	0	3	2	4
YWHAE_1433E	7	3	8	3	3	3	2	3	2	4	6	0	3	3	6	7	6	4	7	2	7	3	6	3	3	0	3	3
YWHAG_1433G	7	6	6	5	3	0	2	0	2	0	4	2	2	0	5	5	4	6	4	4	4	3	6	4	3	3	2	3
YWHAH_1433F	6	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0
YWHAQ_1433T	6	0	4	0	0	0	0	0	0	0	5	0	2	0	3	5	4	0	0	0	4	0	0	0	3	0	0	0
YWHAZ_1433Z	12	9	12	10	5	8	8	6	5	9	11	3	7	12	6	12	11	9	11	8	12	9	11	8	7	7	5	10
ZG16B_ZG16B	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0
